	SRR12626034	SRR12626035	SRR12626036	SRR12626040	SRR12626041	SRR12626042
A1CF	32	33	24	45	16	68
A2M	3835	4737	3084	10410	7572	7071
A2M-AS1	70	55	19	39	20	33
A2ML1	69	35	37	11	4	13
AAAS	557	664	565	637	479	615
AACS	192	129	134	162	112	152
AADAT	209	281	230	639	342	461
AAGAB	4996	5181	4444	8253	5158	6325
AAK1	1560	1263	1300	2493	1223	1575
AAMDC	472	501	434	603	347	399
AAMP	217	276	135	254	176	239
AAR2	470	401	278	396	263	415
AARS	1332	1263	892	1512	913	1179
AARS2	34	46	46	58	38	46
AASDH	1406	1258	1350	1498	803	1224
AASDHPPT	10146	8736	8708	14825	8115	10331
AASS	4676	4205	3913	5059	2274	3912
ABAT	1751	1284	1174	1209	856	899
ABCA1	6228	6097	4981	15722	6935	8488
ABCA11P	493	372	296	640	261	457
ABCA12	20	33	30	103	35	50
ABCA13	169	189	125	308	209	210
ABCA3	27	47	26	44	38	36
ABCA4	1298	1142	1007	693	468	684
ABCA5	1877	1752	1709	1259	526	989
ABCA8	57	51	28	49	33	53
ABCB1	131	98	50	171	129	140
ABCB10	396	412	350	706	323	517
ABCB6	118	168	92	122	61	84
ABCB7	2255	2391	2028	2595	1591	2105
ABCC1	67	60	46	66	33	88
ABCC4	2405	2183	2011	3240	1792	2150
ABCC5	2800	2758	2324	5190	3200	4659
ABCC6P1	45	30	32	29	25	56
ABCC9	41	38	35	23	50	59
ABCD2	1976	1099	1273	1167	508	926
ABCD3	2845	2286	2429	3153	1826	2651
ABCD4	192	213	123	192	112	143
ABCE1	7796	7035	7108	14046	7269	10622
ABCF2	2302	2013	1588	3548	2124	2484
ABCF3	269	265	124	312	194	263
ABCG1	297	241	188	232	120	168
ABHD10	942	948	739	1032	595	962
ABHD11	85	78	48	97	53	59
ABHD12	24	45	32	37	28	51
ABHD12B	12	27	24	51	20	50
ABHD13	378	345	353	439	191	300
ABHD14A	47	43	29	29	20	24
ABHD14B	74	64	44	43	25	54
ABHD15	58	42	36	50	37	38
ABHD17B	485	424	444	545	278	383
ABHD17C	130	75	68	137	103	74
ABHD2	1292	1151	1003	2078	1182	1509
ABHD3	288	240	202	330	182	288
ABHD4	1055	1318	961	928	702	985
ABHD5	962	859	851	1126	711	937
ABHD6	372	397	389	498	275	361
ABI1	3148	3200	3076	5450	2992	3608
ABI2	8859	8117	8058	9883	5810	8012
ABI3BP	127	116	84	82	19	92
ABL1	152	138	66	124	77	105
ABL2	1157	1287	1072	2522	1449	1548
ABLIM1	12292	11206	11162	13828	9039	12906
ABLIM2	67	42	44	44	34	50
ABRACL	1852	1437	1601	2513	1307	1605
ABT1	171	162	85	268	132	178
ACAA1	47	42	27	54	26	21
ACAA2	2100	2040	1773	2635	1532	1838
ACACB	69	64	31	62	43	41
ACAD10	140	148	112	121	88	105
ACAD11	199	221	189	185	117	170
