"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"TM4SF1",-4.01476282192871,4.58413019896697,-19.009467093858,7.15031140922763e-10,4.04528867977053e-06,12.7159989311063
"VCAN",-2.0734522454946,6.86087393112942,-15.9881423523939,4.65532137443377e-09,7.00921579775546e-06,11.4055262057983
"CTSV",-3.06794256223536,7.31369642907784,-15.6882391991651,5.70637959455616e-09,7.00921579775546e-06,11.215922416297
"ANXA3",-2.68990806838544,4.56274370934477,-15.4632415216834,6.66371554808327e-09,7.00921579775546e-06,10.9207106960122
"CTGF",-3.41294588030569,5.58915286809101,-15.4312238751656,6.8135644469246e-09,7.00921579775546e-06,10.9804488070437
"LINC01572",-4.1755499304977,3.05849943974526,-15.3064225730517,7.43354746558246e-09,7.00921579775546e-06,10.1782086775357
"LOC101929128",-2.70619104715253,2.9034944793143,-14.6331530698319,1.20289920658306e-08,1.04698496326826e-05,10.0054283988489
"TM4SF18",-2.00249229023255,5.14650753629332,-14.3294535248323,1.50452182798944e-08,1.13491096558004e-05,10.2354836232543
"LINC00707",-2.3703678999067,3.36744748518477,-13.7573705932,2.32061474464594e-08,1.5445738726864e-05,9.6156995947406
"CYR61",-2.11878614869439,3.48412710303883,-13.6300085301453,2.56129073381118e-08,1.54764609598294e-05,9.56796985723931
"CDCP1",-2.74847332226406,4.53167769697427,-13.2716522643074,3.39618863042975e-08,1.82989877872917e-05,9.41502905834379
"LINC01164",-2.19011771607398,3.01250511427777,-13.0335767829589,4.11184258151268e-08,2.11479540044618e-05,9.04719055735387
"SERPINE1",-3.435690458749,6.80462723119477,-12.6897441152484,5.44971479779945e-08,2.56931345571253e-05,9.00673978967411
"ACTA2",-3.03460878417683,2.7712156967718,-12.1788120583493,8.38804771758659e-08,3.51521333053675e-05,8.28941715203646
"UGT2A1",2.85704816184461,1.68483418613306,12.1232298339014,8.79927908851854e-08,3.55585153166383e-05,7.82942332133108
"CD44",-2.11779808066687,5.42235487296926,-11.9786851288709,9.97454576611418e-08,3.89179259805455e-05,8.40968870551887
"FBXO32",-2.0193315375723,6.1139308370525,-11.8333991007407,1.13290976458646e-07,4.13512064074059e-05,8.28077715413507
"SERPINA3",-2.23493701164325,4.76933925869477,-11.7738908576157,1.19403295850832e-07,4.2220259142255e-05,8.22839028632063
"TAGLN",-3.12071327223543,5.10999004546529,-11.5760096375924,1.42437328923854e-07,4.56896980364605e-05,8.05660244297774
"ANXA1",-2.35457679993377,7.6756303354024,-11.4322858247443,1.62170891908288e-07,4.70503497933917e-05,7.90364876043012
"IGFBP3",-2.1817131899639,4.52093836938321,-10.5267870453699,3.79742202526401e-07,7.2361167197628e-05,7.09197124093432
"ADTRP",-2.76313775745362,2.29965000457663,-10.3358596708905,4.579145189887e-07,7.2361167197628e-05,6.71120556145133
"DIRAS3",-2.00466812830179,2.67220965735837,-10.3290737959449,4.60995396622439e-07,7.2361167197628e-05,6.82162669898172
"GPR87",-3.60533377162861,2.75994849946617,-10.3222513174475,4.64115491300021e-07,7.2361167197628e-05,6.73385713088525
"RCAN1",-2.32769405960669,4.923903095907,-10.3166198960214,4.66708081898106e-07,7.2361167197628e-05,6.88333492858727
"THBS1",-2.6300122451252,4.91848689288457,-10.155451146471,5.47959783035282e-07,7.75020618130527e-05,6.72512772429021
"HS3ST3A1",-2.20935238197525,3.04368162449019,-10.105070892049,5.7639982908524e-07,7.95361471475548e-05,6.64519656418379
"WFIKKN2",2.19356683322534,2.72600373472726,10.0285335873843,6.22702342526904e-07,8.1324782824559e-05,6.54671830445315
"DCLK1",-3.57575595933115,3.73186272470538,-9.95851701000734,6.68592941395083e-07,8.37113868023048e-05,6.51730728000173
"C3orf52",-2.44532058048782,1.94652064585653,-9.9240582947234,6.92508302944651e-07,8.51709939980296e-05,6.28468758037642
"ODAM",-4.75071124062149,1.6112043981393,-9.70371206599416,8.69068491104452e-07,9.72761540111586e-05,5.56665196557563
"CDHR1",2.51392490448745,1.13305674634605,9.40098960139937,1.19545614410514e-06,0.000118624247418698,5.55094684276481
"DIO2",-2.6232488580151,4.47207393780274,-9.3477125861113,1.26552770797304e-06,0.00012037958871915,5.90047542726356
"CNGB1",2.42374746256826,0.518485093653928,9.31338707202559,1.31301338295103e-06,0.00012037958871915,5.17085819241359
"RGS4",-3.77129583518736,4.33834699262771,-9.14835802127684,1.5697729707302e-06,0.000135587642471849,5.69862580541003
"LOC101929555",-2.09617777207503,1.16094441413632,-9.04344637011081,1.76084176507716e-06,0.000140607757324493,5.26669625587638
"COL17A1",-2.07326429921128,0.803017122024433,-9.02484826149798,1.79725807804367e-06,0.000140607757324493,5.10793873844209
"GBP3",-2.22227866327679,3.97523097858577,-9.0065927096634,1.83379460432044e-06,0.000141671948322259,5.54075276292254
"SEMA3C",-3.28119582683088,4.34045370814798,-8.90286179542755,2.05720191407484e-06,0.000154153905018257,5.42696558750508
"ACVR1C",2.40575127905975,1.98705332215539,8.87124383342358,2.13100430806586e-06,0.000157596821867747,5.30645377846075
"CCL2",-3.38110974756505,5.75272196666491,-8.72512126201555,2.51118179112692e-06,0.000176340098464822,5.16826851583662
"LINC01204",-3.99218831264612,-0.50304378157128,-8.66511648216158,2.68794201731006e-06,0.00018272110119984,3.52065012896267
"ELK3",-2.36289723153353,2.5232792499851,-8.65135113219351,2.73035358498524e-06,0.00018280444268703,5.13739715928956
"ANXA2",-2.49174767350542,5.08007413825095,-8.63300536749711,2.78800191651433e-06,0.000185566127560939,5.079103775344
"MIR21",-2.12927426637931,0.608682211016379,-8.52015932306378,3.17273069869709e-06,0.000202821739298066,4.56218465107593
"BBOX1-AS1",-4.2667407641862,-0.540378482562488,-8.45801990757898,3.40868988453668e-06,0.000207361967975981,3.28458015193073
"ACTG2",-4.75967542986963,3.2750809298682,-8.37170568089866,3.76832884995091e-06,0.000223238957786359,4.8164764029222
"TMCC3",-2.33773600648423,0.565131676650656,-8.2182666144283,4.51254644588259e-06,0.000255297315175808,4.22827831797921
"EMP1",-2.18254532410056,1.20709119379757,-8.20207419546945,4.5998630199344e-06,0.000258942537664467,4.45769116936561
"SLC22A8",2.74421341768585,1.25073301061694,8.11755871913848,5.08610417164194e-06,0.000276679176452541,4.34023727608364
"S100A10",-2.11769393322721,3.89356965533353,-8.0653184963122,5.41411102571498e-06,0.00028896540686776,4.46143342237565
"PLAUR",-3.06008803756107,1.09931765396628,-7.76939929142174,7.75772040429966e-06,0.000370072157553192,3.89816521121336
"OXTR",-2.85144601982853,0.807384640738378,-7.76664345494631,7.7841072468104e-06,0.000370072157553192,3.82501214441344
"CCKAR",-2.77314295329096,0.0403639570665942,-7.70486707241781,8.40164853144299e-06,0.000394459141631856,3.44349119439209
"EVA1A",-2.39714904104321,0.759498608224127,-7.70067706726437,8.44539838512625e-06,0.000394874722015304,3.78988901020663
"S100A2",-2.59705128317809,0.148573806474289,-7.6966045483826,8.48815613571187e-06,0.000395240685907736,3.51782373752507
"RPSAP52",-2.37661369916876,-0.19979592002819,-7.5931263753538,9.65646159407301e-06,0.000420241780526677,3.28335549207763
"FHL2",-2.47131990610544,0.808399117166398,-7.56319828777374,1.00257272034131e-05,0.000426470313182778,3.65409318002409
"LAMC2",-2.68409023873149,3.49573497409657,-7.54806199384051,1.02182338271316e-05,0.000431329796446356,3.85518551139551
"S100A16",-2.1378360485228,1.4497290652914,-7.44550515198497,1.16318365425544e-05,0.000463430389010573,3.68636190777261
"LINC00305",2.40428514075898,1.08735222539785,7.26502828718055,1.46551319478149e-05,0.000547270026368069,3.40961968708069
"C8orf46",-2.01971904731705,0.210956862628061,-7.24373516258742,1.50639994529716e-05,0.000555208970066364,3.16023552249654
"ARSJ",-2.05317103677905,0.248352526904468,-7.20548757730496,1.58294692266941e-05,0.000570476391486605,3.13629167896841
"IL18",-3.58089461434202,-0.599587723542012,-7.1216892462613,1.76563010499825e-05,0.00060994044826441,2.39599691821722
"S100A11",-2.25092398957901,3.13093725275775,-7.05037589374939,1.93892713778799e-05,0.000645263546002092,3.22883989569924
"LINC00968",-2.41548634646652,0.00328784508487464,-7.0365095336925,1.97469321160907e-05,0.000651418474908356,2.83075613298095
