"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"F2R",-1.91727849117675,5.54457594885138,-19.01610638378,7.12319184647668e-10,4.04528867977053e-06,13.0654853281566
"TM4SF1",-4.01476282192871,4.58413019896697,-19.009467093858,7.15031140922763e-10,4.04528867977053e-06,12.7159989311063
"STK38L",-1.91936226043039,7.80697154631211,-17.2994315356894,1.988709944271e-09,7.00921579775546e-06,12.2358220125116
"F2RL2",-1.78583044552369,5.86986275991314,-16.8328794200404,2.67250741637003e-09,7.00921579775546e-06,11.8939296647638
"ERRFI1",-1.8450280232967,5.09583381476314,-16.2509676822949,3.90587325818957e-09,7.00921579775546e-06,11.4928756770837
"CLIC4",-1.5325008097321,5.83851841413992,-16.1991159485176,4.04265695887056e-09,7.00921579775546e-06,11.5090914894832
"VCAN",-2.0734522454946,6.86087393112942,-15.9881423523939,4.65532137443377e-09,7.00921579775546e-06,11.4055262057983
"CTSV",-3.06794256223536,7.31369642907784,-15.6882391991651,5.70637959455616e-09,7.00921579775546e-06,11.215922416297
"ANXA3",-2.68990806838544,4.56274370934477,-15.4632415216834,6.66371554808327e-09,7.00921579775546e-06,10.9207106960122
"CTGF",-3.41294588030569,5.58915286809101,-15.4312238751656,6.8135644469246e-09,7.00921579775546e-06,10.9804488070437
"KLHL20",-1.71212499831974,6.26657212568773,-15.4189293089987,6.87207404496131e-09,7.00921579775546e-06,11.0209573139069
"LINC01572",-4.1755499304977,3.05849943974526,-15.3064225730517,7.43354746558246e-09,7.00921579775546e-06,10.1782086775357
"LOC101929128",-2.70619104715253,2.9034944793143,-14.6331530698319,1.20289920658306e-08,1.04698496326826e-05,10.0054283988489
"PTHLH",-1.79194178928596,4.72992148049879,-14.4511348045205,1.37481493689225e-08,1.1111450722097e-05,10.2995223937104
"TM4SF18",-2.00249229023255,5.14650753629332,-14.3294535248323,1.50452182798944e-08,1.13491096558004e-05,10.2354836232543
"RDH10",-1.32582646369943,5.75682704443412,-14.1200138909164,1.75995292360672e-08,1.24461670816313e-05,10.1082307352043
"LINC00707",-2.3703678999067,3.36744748518477,-13.7573705932,2.32061474464594e-08,1.5445738726864e-05,9.6156995947406
"CYR61",-2.11878614869439,3.48412710303883,-13.6300085301453,2.56129073381118e-08,1.54764609598294e-05,9.56796985723931
"MYL12A",-1.22602550081026,8.00728333273792,-13.6113401160061,2.59878708119098e-08,1.54764609598294e-05,9.73904027753435
"NWD1",1.89691965526323,3.58226944915083,13.3799875225357,3.11630851118179e-08,1.7630515402011e-05,9.42382812924302
"CDCP1",-2.74847332226406,4.53167769697427,-13.2716522643074,3.39618863042975e-08,1.82989877872917e-05,9.41502905834379
"LINC01164",-2.19011771607398,3.01250511427777,-13.0335767829589,4.11184258151268e-08,2.11479540044618e-05,9.04719055735387
"ADAMTS1",-1.16100346114431,5.80201066455636,-12.9134759809585,4.5335805520468e-08,2.23032451940911e-05,9.18752179796248
"SERPINE1",-3.435690458749,6.80462723119477,-12.6897441152484,5.44971479779945e-08,2.56931345571253e-05,9.00673978967411
"KLF10",-1.14806007172099,6.16354562895718,-12.5896125023522,5.92312042895475e-08,2.68080430614492e-05,8.92447675840674
"KDR",1.53975888957158,3.53828097280466,12.4811267554763,6.48682293846035e-08,2.82301544417995e-05,8.75672845602437
"ACTA2",-3.03460878417683,2.7712156967718,-12.1788120583493,8.38804771758659e-08,3.51521333053675e-05,8.28941715203646
"UGT2A1",2.85704816184461,1.68483418613306,12.1232298339014,8.79927908851854e-08,3.55585153166383e-05,7.82942332133108
"CD44",-2.11779808066687,5.42235487296926,-11.9786851288709,9.97454576611418e-08,3.89179259805455e-05,8.40968870551887
"PALLD",-1.22504266274175,7.18360566001139,-11.937071211653,1.03436449177279e-07,3.90127807480305e-05,8.36162474959248
"FBXO32",-2.0193315375723,6.1139308370525,-11.8333991007407,1.13290976458646e-07,4.13512064074059e-05,8.28077715413507
"SERPINA3",-2.23493701164325,4.76933925869477,-11.7738908576157,1.19403295850832e-07,4.2220259142255e-05,8.22839028632063
"RGS5",-1.93649037470681,5.99118947018121,-11.7236778141428,1.24838974341536e-07,4.25591385363561e-05,8.18476817470327
"CACNA2D3",1.73982613612193,2.21995508121206,11.6965704881014,1.27884287250208e-07,4.25591385363561e-05,7.89414569551609
"TAGLN",-3.12071327223543,5.10999004546529,-11.5760096375924,1.42437328923854e-07,4.56896980364605e-05,8.05660244297774
"WEE1",-1.27533773917424,5.55340180125502,-11.5140844269616,1.50601269600416e-07,4.56896980364605e-05,8.00029458441467
"GNG12",-0.945145361499479,7.46897037157616,-11.5041631427365,1.51955683330417e-07,4.56896980364605e-05,7.97005211600052
"GEM",-1.27123559299815,4.62541738644139,-11.4933773793985,1.53443086644763e-07,4.56896980364605e-05,7.98404330594496
"ANXA1",-2.35457679993377,7.6756303354024,-11.4322858247443,1.62170891908288e-07,4.70503497933917e-05,7.90364876043012
"GPC6",1.41873081791513,4.09029539039059,11.4006043486871,1.66907399991896e-07,4.72139307727075e-05,7.89415221254236
"RND3",-1.14781220477689,6.75920638830613,-11.3644818721304,1.72491270137158e-07,4.76033834537058e-05,7.85096804675777
"GCNT1",-1.18978650731651,5.21301676476457,-11.2995121465024,1.83049949237925e-07,4.8372140611587e-05,7.80863494845761
"CA12",-1.17567848231868,5.77900696786161,-11.278949760292,1.8653581417091e-07,4.8372140611587e-05,7.7843486306689
"OPCML",1.43084018858047,3.65042771546392,11.2698461244673,1.88102005029591e-07,4.8372140611587e-05,7.76293098514457
"OCIAD2",-1.5398738226971,5.74535068564861,-11.1653766476086,2.07130016313913e-07,5.17629683027779e-05,7.68049355862171
"CALD1",-1.78452946051472,5.80011879854299,-11.1247156063868,2.1509060149345e-07,5.17629683027779e-05,7.64256538001788
"DUSP6",-1.50281240727233,3.55348388779849,-11.1129942889419,2.17446408822016e-07,5.17629683027779e-05,7.61700094000803
"SOSTDC1",1.54787129492411,6.67453927510941,11.1024642278308,2.19586608796583e-07,5.17629683027779e-05,7.60890995585315
"CDKN3",-1.53148361925476,3.17767502409095,-11.0283088094556,2.35319524504557e-07,5.43396004034502e-05,7.51450458496575
"ARID5B",-0.986380574667153,9.51510095016787,-10.9340161129533,2.57109669602155e-07,5.81839182309678e-05,7.4068824474047
"TPM1",-1.89955485146179,5.5766088974511,-10.848169024998,2.78854629745032e-07,6.18674536385301e-05,7.38577739402615
"SNTG1",1.67289585884337,4.0553695341842,10.8076684745502,2.89797012486705e-07,6.30587153132127e-05,7.35587931729686
"HES1",-1.43020790950095,3.37454274302737,-10.68092413619,3.27150397008866e-07,6.98435234368929e-05,7.21807086391665
"UAP1",-1.36241430753464,6.2283717478508,-10.6595688581435,3.33941587360293e-07,6.99731307589207e-05,7.19195323233506
"NT5DC3",-1.77864779229943,5.18338203355162,-10.613295343317,3.49185888143912e-07,7.18370604426975e-05,7.16625018700037
"DDAH1",-1.13882013953887,6.99504736217799,-10.590955216579,3.56813494065821e-07,7.20954408099065e-05,7.11068296348353
"LINGO2",1.28459222448415,3.07223149259453,10.5533446922488,3.70064925758596e-07,7.2361167197628e-05,7.08578856118559
"KLF5",-1.83234376997359,1.8711509720725,-10.5271570214673,3.79605523694143e-07,7.2361167197628e-05,6.83673566015371
"IGFBP3",-2.1817131899639,4.52093836938321,-10.5267870453699,3.79742202526401e-07,7.2361167197628e-05,7.09197124093432
"NEDD4",-1.74627607008972,4.06720265786631,-10.5061588041273,3.87447646130216e-07,7.2361167197628e-05,7.07188424027355
"SPOCK1",1.245890505508,4.96218451873015,10.4498955374837,4.09336606354628e-07,7.2361167197628e-05,7.009033810211
"RAB11FIP2",1.20850314515631,7.58117204512518,10.4144314043566,4.2381830769025e-07,7.2361167197628e-05,6.9248225156224
"PPARGC1A",1.38074611816989,5.01612908405191,10.4030220586247,4.28594293858611e-07,7.2361167197628e-05,6.96245046947539
"ADHFE1",1.46025151704966,3.58100383277843,10.39761511278,4.30877948113939e-07,7.2361167197628e-05,6.96229053238164
"HMGN3",0.848788878141309,8.30869166316243,10.3897684458986,4.34215458617669e-07,7.2361167197628e-05,6.88713671120718
"SLC17A8",1.60277697909264,7.83433024025517,10.3686035278858,4.43357911207361e-07,7.2361167197628e-05,6.8749147802549
"LDLRAD4",-1.65303075276111,3.05801146829993,-10.3514941938925,4.50900611921541e-07,7.2361167197628e-05,6.88960796162438
"PTRF",-1.86665065598772,3.1831958765141,-10.3501739607282,4.51488378132542e-07,7.2361167197628e-05,6.89312779487543
"ADTRP",-2.76313775745362,2.29965000457663,-10.3358596708905,4.579145189887e-07,7.2361167197628e-05,6.71120556145133
"DIRAS3",-2.00466812830179,2.67220965735837,-10.3290737959449,4.60995396622439e-07,7.2361167197628e-05,6.82162669898172
"GPR87",-3.60533377162861,2.75994849946617,-10.3222513174475,4.64115491300021e-07,7.2361167197628e-05,6.73385713088525
"RCAN1",-2.32769405960669,4.923903095907,-10.3166198960214,4.66708081898106e-07,7.2361167197628e-05,6.88333492858727
"SEPP1",0.975933380399305,4.70940689543449,10.3054712870528,4.71886959669063e-07,7.2361167197628e-05,6.87042557684987
"GPR155",1.10621774754379,5.42453651325565,10.3001521433351,4.74379725874542e-07,7.2361167197628e-05,6.85178434981023
"FBXL2",-0.857658196269162,6.47715127373012,-10.2890333207398,4.79636547929483e-07,7.2361167197628e-05,6.81889295090012
"PHLDA1",-1.12121386602843,5.22408281964703,-10.2729424936697,4.87355861787276e-07,7.25583102121451e-05,6.82886342254862
"SOX2-OT",1.0110684545787,7.38898775152409,10.2298012344675,5.08722607522085e-07,7.47557961573037e-05,6.74126505380503
"FERMT2",-1.04110460121565,5.21982650947957,-10.1923862341785,5.28074064893373e-07,7.57165846928031e-05,6.74794364957664
"PRND",1.2127021142851,6.73130064530991,10.1913063111979,5.28644294364246e-07,7.57165846928031e-05,6.71522735541641
"THBS1",-2.6300122451252,4.91848689288457,-10.155451146471,5.47959783035282e-07,7.75020618130527e-05,6.72512772429021
"CA14",1.22058327557696,7.43090663257045,10.1162573016448,5.69949989933546e-07,7.95361471475548e-05,6.6244547122271
"HS3ST3A1",-2.20935238197525,3.04368162449019,-10.105070892049,5.7639982908524e-07,7.95361471475548e-05,6.64519656418379
"SUSD5",-1.93541298849216,2.7011056779162,-10.0908956919404,5.84686460344264e-07,7.97075578168114e-05,6.60772762315892
"PDP1",-0.956268774300371,7.4308243007947,-10.0577230987244,6.04586131293011e-07,8.1324782824559e-05,6.56374694841471
"WFIKKN2",2.19356683322534,2.72600373472726,10.0285335873843,6.22702342526904e-07,8.1324782824559e-05,6.54671830445315
"LMBRD1",0.936489547415795,7.33957430604937,10.0278235697575,6.23150250824023e-07,8.1324782824559e-05,6.53439409521877
"ARHGEF3",-0.831895026864292,6.24131240498961,-10.0170893276495,6.2996442969112e-07,8.1324782824559e-05,6.54635106636234
"ATP2B2",1.22821515326139,4.08191815560924,10.0116380318437,6.33455737906707e-07,8.1324782824559e-05,6.58761071094237
"NFASC",-1.79414592855256,2.18292348744489,-10.0020095748493,6.3967350166909e-07,8.1324782824559e-05,6.45467262086509
"DCLK1",-3.57575595933115,3.73186272470538,-9.95851701000734,6.68592941395083e-07,8.37113868023048e-05,6.51730728000173
"VIM",-1.13956829283466,7.69993455669212,-9.95171478192777,6.73242262395911e-07,8.37113868023048e-05,6.44843033717852
"C3orf52",-2.44532058048782,1.94652064585653,-9.9240582947234,6.92508302944651e-07,8.51709939980296e-05,6.28468758037642
"PIP4K2A",-1.34038935358421,4.79677873189138,-9.90521025682868,7.05979020512027e-07,8.58941141622966e-05,6.46669303998163
"CDH6",-1.34338340249676,6.78071943664286,-9.88678178147866,7.19423906561969e-07,8.65987393909434e-05,6.40000775723841
"INSR",0.969590879124794,5.53507233686711,9.87072323103907,7.3136539023068e-07,8.71094672680015e-05,6.4113048364953
"DPYD",-1.80605015832524,2.07558778692694,-9.82978153590901,7.62790173231233e-07,8.99059459386605e-05,6.27633036983405
"KCNJ13",1.6075240540192,9.33558867520279,9.7992826181149,7.87146638451034e-07,9.18202496296232e-05,6.2577860866313
"SLC24A4",1.42894197582616,2.66473903398022,9.77977690953488,8.03163440313814e-07,9.27325951750082e-05,6.32094069579305
"CAP2",-0.871513694334694,5.43817519889691,-9.75750964829253,8.21879241156616e-07,9.39349859968395e-05,6.29532677506155
"TACR3",1.59369532696126,3.21663026260149,9.74712356530364,8.30769415449165e-07,9.40015593580731e-05,6.31675563562197
"ODAM",-4.75071124062149,1.6112043981393,-9.70371206599416,8.69068491104452e-07,9.72761540111586e-05,5.56665196557563
"SERPINB8",-1.39497129490992,3.52059874646949,-9.6950854261184,8.76903907126662e-07,9.72761540111586e-05,6.26995625329481
"ESRRG",1.54297606335786,3.24056236528265,9.65403049285673,9.15253179548953e-07,0.000100544560452392,6.22430732851827
"PDZRN3-AS1",1.64954730373228,2.43907233973776,9.61279776083487,9.55597497391475e-07,0.000103967170028697,6.13240342441617
"CA2",1.27426653255938,9.08166370131778,9.6020824103421,9.66393464133826e-07,0.000104140400444517,6.04968725876414
"HORMAD2",1.83852966219943,1.41434748805788,9.55529389164659,1.01510097757852e-06,0.000107521143387801,5.85830869173615
"TUBA1A",-1.03506225231766,10.5568462985121,-9.54902837995743,1.02182213078356e-06,0.000107521143387801,5.96750633779875
"ENAH",-1.25385977608801,7.5231518654182,-9.54490331301669,1.02627339689637e-06,0.000107521143387801,6.01903372509596
"MYH9",-1.5566572690479,3.43656223036085,-9.52540898391469,1.04759435169737e-06,0.000108747982472071,6.09542582548084
"BANCR",-1.5157486698494,1.92531797543062,-9.48148632684188,1.09740535732231e-06,0.000112883105619108,5.93231048900823
"SNED1",1.53201463352783,1.76133545905215,9.41939493963602,1.17223147337081e-06,0.000118624247418698,5.84378714378085
"HRSP12",0.929545252296246,6.31337814782327,9.41322310962829,1.17996463411075e-06,0.000118624247418698,5.90394463034135
"CDHR1",2.51392490448745,1.13305674634605,9.40098960139937,1.19545614410514e-06,0.000118624247418698,5.55094684276481
"COX14",0.906868939299764,5.4525503894701,9.39962827589093,1.19719353887256e-06,0.000118624247418698,5.9128361436579
"VCL",-0.872947992988218,7.30157198878066,-9.39304226856513,1.20563751243042e-06,0.000118624247418698,5.85757127931767
"SLC23A2",1.20123381635055,6.01484628865478,9.34870210872172,1.26418658740528e-06,0.00012037958871915,5.84222103631602
"DIO2",-2.6232488580151,4.47207393780274,-9.3477125861113,1.26552770797304e-06,0.00012037958871915,5.90047542726356
"SGPL1",-0.80853131372159,6.2143928675136,-9.33743514106912,1.27954807503257e-06,0.00012037958871915,5.82350536635227
"CTTNBP2NL",-0.825530436033961,5.70522266848848,-9.32990859535076,1.28992198208179e-06,0.00012037958871915,5.82950134746816
"RBBP8",-0.924756849048235,7.34045236977139,-9.31978443047962,1.30401959192606e-06,0.00012037958871915,5.77600609602565
"NAV1",-1.04616191711171,5.80890285721317,-9.31563454072772,1.30984615342067e-06,0.00012037958871915,5.81152229219446
"CNGB1",2.42374746256826,0.518485093653928,9.31338707202559,1.31301338295103e-06,0.00012037958871915,5.17085819241359
"COL21A1",1.56734135380305,4.8610456638215,9.30937548261169,1.31868724373283e-06,0.00012037958871915,5.83648143957351
"GPR85",0.932103389654871,4.83005993799889,9.30899386360087,1.31922836952493e-06,0.00012037958871915,5.83346517907979
"SLC4A5",1.22152364414052,7.01412118372208,9.29854012545403,1.33414506061911e-06,0.000120766810887242,5.76075979233475
"RTN4",0.728135388903382,8.07899583528857,9.26670059648289,1.38070989642253e-06,0.000123989940301753,5.70028819346638
"IL13RA1",-0.939234858950339,4.57549390716652,-9.24869776422348,1.40781238159203e-06,0.000125001826262082,5.77636707439471
"OXCT1",-1.00186537828567,5.46314385367449,-9.24459243124437,1.41407280261127e-06,0.000125001826262082,5.74352347170451
"GBP1",-0.737642037523746,6.74326841791274,-9.20314052382656,1.47899454414415e-06,0.000129727312147218,5.66076119083521
"AXL",-1.10461692259076,5.65779390059274,-9.18634324949885,1.50621155284197e-06,0.000131098336310822,5.67358585996683
